,unique_county,COPD,CHOLSCREEN,KIDNEY,BINGE,CHECKUP,PHLTH,OBESITY,ARTHRITIS,CASTHMA,DENTAL,SLEEP,CANCER,LPA,BPHIGH,DIABETES,STROKE,BPMED,CSMOKING,MHLTH,CHD,Rank,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
0,AdaIdaho,4.89622641509434,72.81698113207547,2.2452830188679247,16.23962264150944,61.05094339622642,10.307547169811322,26.56415094339622,23.271698113207552,9.081132075471698,67.56037735849057,28.799999999999994,6.249056603773588,16.994339622641515,27.875471698113206,7.373584905660376,2.3962264150943398,64.36226415094336,13.347169811320757,10.569811320754718,4.80943396226415,571,Ada,Idaho,27452.0,55210.0,67641.0,"401,673","151,600",16001.0
1,AdamsColorado,5.0854838709677415,71.06451612903226,2.282258064516129,17.606451612903225,56.70161290322583,11.450000000000001,26.08225806451613,21.112903225806463,9.396774193548385,62.18225806451612,32.561290322580646,5.114516129032259,22.35,24.45,7.735483870967744,2.398387096774194,65.35645161290323,18.991935483870964,11.770967741935486,4.567741935483871,1233,Adams,Colorado,24195.0,56270.0,64611.0,"452,030","152,803",8001.0
2,AlachuaFlorida,5.9702702702702695,65.64864864864863,2.332432432432433,17.435135135135134,68.90810810810811,11.313513513513515,24.74864864864865,17.68378378378378,9.205405405405404,57.637837837837836,35.024324324324326,4.878378378378377,24.767567567567568,23.824324324324326,7.6810810810810795,2.540540540540541,65.11351351351352,18.521621621621623,14.359459459459458,4.7594594594594595,1076,Alachua,Florida,24857.0,42149.0,62139.0,"249,848","96,043",12001.0
3,AlamedaCalifornia,4.260064935064938,75.58311688311693,2.385064935064935,15.819155844155839,64.94155844155846,10.417857142857137,20.40941558441557,18.578246753246745,8.87824675324675,65.33214285714288,34.10032467532467,5.3587662337662305,18.75227272727273,25.975649350649352,8.96298701298701,2.5133116883116893,70.23441558441563,12.385714285714291,10.72305194805194,4.49448051948052,109,Alameda,California,35763.0,72112.0,88618.0,"1,535,248","545,071",6001.0
4,AlbanyNew York,6.38846153846154,70.9230769230769,2.6384615384615384,17.215384615384615,72.4923076923077,13.01538461538461,29.303846153846152,21.726923076923075,10.876923076923076,59.46153846153845,39.43846153846154,5.446153846153846,30.542307692307695,30.57692307692308,9.753846153846153,3.223076923076923,70.39615384615385,20.442307692307693,14.015384615384617,5.4192307692307695,210,Albany,New York,32328.0,59394.0,81846.0,"305,279","122,700",36001.0
5,Alexandria CityVirginia,3.607894736842105,80.6105263157895,2.044736842105263,18.205263157894738,73.3157894736842,7.550000000000001,25.568421052631578,17.639473684210525,7.639473684210526,75.86578947368423,34.72368421052631,5.394736842105262,19.115789473684213,25.999999999999996,7.313157894736841,1.8921052631578952,73.07631578947367,13.521052631578947,8.852631578947367,3.5921052631578934,5,Alexandria City,Virginia,54608.0,85706.0,107511.0,"143,684","65,369",51510.0
6,AlleghenyPennsylvania,7.177165354330709,72.42283464566927,2.95748031496063,18.5732283464567,74.11889763779531,12.757480314960631,34.25433070866142,28.7244094488189,10.390551181102358,58.27086614173227,40.82834645669293,6.251968503937008,29.268503937007875,33.53149606299211,11.509448818897638,3.820472440944882,77.2456692913386,20.686614173228346,12.954330708661415,6.6086614173228355,239,Allegheny,Pennsylvania,31593.0,51366.0,70380.0,"1,226,933","526,004",42003.0
7,AllenIndiana,7.629487179487178,70.5371794871795,2.724358974358974,17.005128205128198,63.57179487179485,13.699999999999992,32.42179487179488,24.793589743589745,9.9,61.185897435897445,36.59871794871794,6.16153846153846,28.29615384615385,32.45512820512819,11.000000000000002,3.3653846153846154,75.82435897435896,21.716666666666665,13.994871794871793,6.771794871794871,995,Allen,Indiana,25279.0,49370.0,60867.0,"358,324","138,212",18003.0
8,AnchorageAlaska,4.6436363636363645,68.77999999999999,2.0781818181818186,20.500000000000004,55.18909090909089,10.040000000000003,30.327272727272714,18.73818181818182,9.26,65.63818181818183,34.00363636363637,5.354545454545454,21.852727272727265,27.069090909090907,7.318181818181818,2.2181818181818183,63.11090909090909,17.96363636363637,11.043636363636363,4.316363636363634,98,Anchorage,Alaska,36214.0,77454.0,90466.0,"295,237","105,208",2020.0
9,ArapahoeColorado,4.643636363636364,75.66909090909093,2.251818181818182,16.145454545454548,62.04090909090909,10.045454545454547,21.821818181818177,21.15,8.806363636363638,67.08909090909088,31.383636363636366,5.721818181818181,19.109999999999985,26.05909090909091,7.1899999999999995,2.3818181818181827,68.2990909090909,16.533636363636354,10.481818181818177,4.185454545454546,198,Arapahoe,Colorado,32595.0,60651.0,73649.0,"585,333","225,552",8005.0
10,Baltimore CityMaryland,7.819597989949748,75.13768844221109,3.1155778894472332,14.97889447236181,77.0949748743719,13.905025125628141,34.87738693467337,26.135678391959793,11.318592964824123,58.397487437185916,44.80552763819098,5.52713567839196,31.153768844221084,38.77487437185929,14.08190954773869,4.434673366834173,77.05728643216081,25.621608040201004,14.042211055276384,6.474874371859294,1103,Baltimore City,Maryland,24750.0,41385.0,50151.0,"621,445","241,455",24510.0
11,BellTexas,5.177777777777778,65.81111111111112,2.2296296296296294,18.12592592592593,68.57777777777777,11.35925925925926,35.22592592592593,17.929629629629634,9.355555555555556,56.22222222222223,38.288888888888884,3.9444444444444438,28.518518518518523,28.707407407407413,9.044444444444444,2.4222222222222225,68.50740740740741,21.25925925925926,12.81111111111111,4.170370370370371,1593,Bell,Texas,22857.0,50060.0,58115.0,"316,144","104,049",48027.0
12,BentonArkansas,5.95,70.35,2.175,16.15,64.125,11.85,29.425000000000004,20.425,9.325,58.47500000000001,33.3,5.074999999999999,29.674999999999997,26.125,7.65,2.275,71.875,19.45,13.2,5.125,706,Benton,Arkansas,26715.0,54515.0,61706.0,"227,439","82,150",5007.0
