,County-equivalent,State,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,fips
0,New York County,New York,62498.0,69659.0,84627.0,"1,605,272","736,192",36061
1,Arlington,Virginia,62018.0,103208.0,139244.0,"214,861","94,454",51013
2,Falls Church City,Virginia,59088.0,120000.0,152857.0,"12,731","5,020",51610
3,Marin,California,56791.0,90839.0,117357.0,"254,643","102,912",06041
4,Alexandria City,Virginia,54608.0,85706.0,107511.0,"143,684","65,369",51510
5,Pitkin,Colorado,51814.0,72745.0,93981.0,"17,173","7,507",08097
6,Los Alamos,New Mexico,51044.0,106686.0,124979.0,"17,979","7,590",35028
7,Fairfax County,Virginia,50532.0,110292.0,128596.0,"1,101,071","389,908",51059
8,Hunterdon,New Jersey,50349.0,106143.0,125828.0,"127,047","46,816",34019
9,Borden,Texas,50042.0,71607.0,76250.0,649,225,48033
10,Montgomery,Maryland,49038.0,98221.0,117408.0,"989,474","360,563",24031
11,Morris,New Jersey,48814.0,98633.0,117683.0,"495,261","179,665",34027
12,Fairfield,Connecticut,48721.0,82283.0,104250.0,"926,233","332,655",09001
13,San Francisco,California,48486.0,75604.0,90116.0,"817,501","345,344",06075
14,Howard,Maryland,48172.0,109865.0,128657.0,"293,821","106,142",24027
15,Westchester,New York,47984.0,81946.0,105341.0,"956,283","343,561",36119
16,Somerset,New Jersey,47803.0,99020.0,117393.0,"326,207","115,531",34035
17,Nantucket,Massachusetts,47331.0,85478.0,92500.0,"10,224","4,069",25019
18,Loudoun,Virginia,46565.0,122238.0,133550.0,"326,477","106,997",51107
19,North Slope,Alaska,46457.0,80761.0,82500.0,"9,484","1,990",02185
20,San Mateo,California,45732.0,88202.0,105844.0,"729,543","257,941",06081
21,Kalawao,Hawaii,45515.0,59375.0,88750.0,71,46,15005
22,Washington City,District of Columbia,45290.0,65830.0,79665.0,"619,371","263,649",11001
23,Goochland,Virginia,45039.0,80976.0,92042.0,"21,565","8,058",51075
24,Norfolk,Massachusetts,44692.0,84916.0,108943.0,"677,296","257,451",25021
25,Fairfax City,Virginia,44345.0,97242.0,113538.0,"23,027","8,492",51600
26,Douglas,Colorado,43634.0,101591.0,112930.0,"293,014","103,780",08035
27,Teton,Wyoming,43444.0,68078.0,83558.0,"21,575","7,583",56039
28,Bergen,New Jersey,43347.0,83794.0,102222.0,"912,795","335,422",34003
29,Middlesex,Massachusetts,42861.0,82090.0,104032.0,"1,522,533","581,120",25017
30,Monmouth,New Jersey,42749.0,84526.0,105971.0,"629,735","233,909",34025
31,Summit,Utah,42462.0,83336.0,95879.0,"37,232","13,627",49043
32,Nassau,New York,42400.0,97690.0,112874.0,"1,343,765","441,955",36059
33,Mineral,Colorado,42255.0,47083.0,68438.0,761,393,08079
34,Chester,Pennsylvania,42210.0,86050.0,105278.0,"503,075","184,788",42029
35,Ozaukee,Wisconsin,42041.0,75457.0,92262.0,"86,708","34,108",55089
36,Clear Creek,Colorado,41716.0,67259.0,89583.0,"9,048","4,024",08019
37,Santa Clara,California,41513.0,91702.0,103983.0,"1,812,208","609,377",06085
38,Montgomery,Pennsylvania,41472.0,79183.0,99587.0,"804,621","307,488",42091
39,Williamson,Tennessee,41292.0,89779.0,104796.0,"188,935","66,364",47187
40,San Miguel,Colorado,40827.0,63594.0,77708.0,"7,496","3,234",08113
41,Anne Arundel,Maryland,40415.0,87430.0,101268.0,"544,426","199,904",24003
42,Putnam,New York,40309.0,95117.0,109188.0,"99,718","34,496",36079
43,Newport,Rhode Island,40293.0,71713.0,88962.0,"82,545","34,774",44005
44,Delaware County,Ohio,40189.0,89757.0,103564.0,"178,139","64,208",39041
45,Middlesex,Connecticut,39992.0,76994.0,98501.0,"165,690","66,141",09007
46,King,Washington,39911.0,71811.0,92510.0,"1,974,567","802,606",53033
47,Fauquier,Virginia,39600.0,88409.0,103556.0,"66,015","23,130",51061
48,Hamilton,Indiana,39521.0,82468.0,99768.0,"282,977","103,234",18057
49,Eagle,Colorado,39497.0,74456.0,86167.0,"52,151","17,966",08037
50,James City County,Virginia,39133.0,76960.0,90406.0,"68,171","26,883",51095
51,Bristol,Rhode Island,38893.0,71238.0,93131.0,"49,426","19,174",44001
52,Johnson,Kansas,38827.0,74717.0,92512.0,"552,947","216,304",20091
53,Clarke,Virginia,38748.0,77597.0,95654.0,"14,191","5,580",51043
54,Williams,North Dakota,38738.0,76210.0,86285.0,"25,024","10,411",38105
