,2017,Rank_2018,city_county,state,type,Rank_In_State_2018,zips
0,40862.0,256.0,Abilene,TX,city,,"79601,79602,79603,79605,79606"
1,47343.0,129.0,Akron,OH,city,,"44301,44302,44303,44304,44305"
2,36522.0,358.0,Albany,GA,city,,"31701,31705,31707,31721"
3,40865.0,261.0,Albany-Lebanon,OR,city,,"97321,97322"
4,56264.0,43.0,Albany-Schenectady-Troy,NY,city,,"12202,12203,12204,12205,12206"
5,40715.0,267.0,Albuquerque,NM,city,,"87101,87102,87104,87105,87106"
6,42200.0,235.0,Alexandria,LA,city,,"71301,71302,71303"
7,51236.0,76.0,Allentown-Bethlehem-Easton,PA-NJ,city,,
8,44160.0,171.0,Altoona,PA,city,,"16601,16602"
9,44111.0,189.0,Amarillo,TX,city,,"79101,79102,79103,79104,79106"
10,41321.0,246.0,Ames,IA,city,,"50010,50014"
11,58093.0,31.0,Anchorage,AK,city,,"99501,99502,99503,99504,99507"
12,56729.0,38.0,Ann Arbor,MI,city,,"48103,48104,48105,48108,48109"
13,35721.0,361.0,Anniston-Oxford,AL,city,,"36201,36205,36206,36207"
14,49292.0,106.0,Appleton,WI,city,,"54911,54913,54914,54915"
15,43265.0,206.0,Asheville,NC,city,,"28801,28803,28804,28805,28806"
16,38884.0,302.0,Athens-Clarke County,GA,city,,"30601,30605,30606,30607"
17,50269.0,89.0,Atlanta-Sandy Springs-Alpharetta,GA,city,,"30004,30005,30009,30022"
18,46549.0,142.0,Atlantic City-Hammonton,NJ,city,,08401
19,36437.0,352.0,Auburn-Opelika,AL,city,,"36830,36832"
20,40502.0,274.0,Augusta-Richmond County,GA-SC,city,,
21,55530.0,40.0,Austin-Round Rock-Georgetown,TX,city,,"78701,78702,78703,78704,78705"
22,38467.0,326.0,Bakersfield,CA,city,,"93301,93304,93305,93306,93307"
23,59570.0,26.0,Baltimore-Columbia-Towson,MD,city,,"21201,21202,21205,21206,21209"
24,39976.0,274.0,Bangor,ME,city,,04401
25,70777.0,10.0,Barnstable Town,MA,city,,02630
26,45865.0,152.0,Baton Rouge,LA,city,,"70801,70802,70805,70806,70807"
27,38608.0,314.0,Battle Creek,MI,city,,"49014,49015,49017,49037"
28,40192.0,283.0,Bay City,MI,city,,"48706,48708"
29,42728.0,219.0,Beaumont-Port Arthur,TX,city,,76820
30,36477.0,340.0,Beckley,WV,city,,"25801,25926"
31,46719.0,140.0,Bellingham,WA,city,,"98225,98226,98229"
32,53033.0,68.0,Bend,OR,city,,"97701,97702,97703,97707"
33,49558.0,95.0,Billings,MT,city,,"59101,59102,59105,59106"
34,43201.0,217.0,Binghamton,NY,city,,"13901,13903,13904,13905"
35,48618.0,107.0,Birmingham-Hoover,AL,city,,"35203,35204,35205,35206,35207"
36,54507.0,56.0,Bismarck,ND,city,,"58501,58503,58504,58505"
37,36723.0,344.0,Blacksburg-Christiansburg,VA,city,,24060
38,47247.0,131.0,Bloomington,IL,city,,"61701,61704,61705"
39,40079.0,278.0,Bloomington,IN,city,,"47401,47403,47404,47405,47406"
40,43692.0,203.0,Bloomsburg-Berwick,PA,city,,18603
41,44062.0,196.0,Boise City,ID,city,,"83702,83703,83704,83705,83706"
42,74779.0,6.0,Boston-Cambridge-Newton,MA-NH,city,,
43,69298.0,12.0,Boulder,CO,city,,"80301,80302,80303,80304,80305"
44,35863.0,367.0,Bowling Green,KY,city,,"42101,42103,42104"
45,52833.0,60.0,Bremerton-Silverdale-Port Orchard,WA,city,,"98310,98311,98312,98337"
46,112769.0,2.0,Bridgeport-Stamford-Norwalk,CT,city,,"06604,06605,06606,06607,06608"
47,27427.0,383.0,Brownsville-Harlingen,TX,city,,"78520,78521,78526"
