County_Or_State,2017,Rank_In_State_2018
Alabama,40467,0
Autauga,40450,10
Baldwin,43989,4
Barbour,33048,41
Bibb,29081,66
Blount,33533,43
Bullock,27442,67
Butler,34733,32
Calhoun,35721,26
Chambers,32583,49
Cherokee,33852,39
Chilton,33416,45
Choctaw,36603,17
Clarke,34777,33
Clay,32017,50
Cleburne,34862,35
Coffee,41268,6
Colbert,37073,21
Conecuh,31267,57
Coosa,29926,64
Covington,34393,38
Crenshaw,35823,28
Cullman,38158,16
Dale,35200,29
Dallas,34282,37
DeKalb,30682,62
Elmore,40966,9
Escambia,31641,55
Etowah,35542,27
Fayette,33492,44
Franklin,32422,47
Geneva,33736,42
Greene,31388,60
Hale,35559,30
Henry,38790,12
Houston,40642,8
Jackson,35099,31
Jefferson,52128,1
Lamar,32230,51
Lauderdale,35573,25
Lawrence,32596,48
Lee,36437,23
Limestone,40845,7
Lowndes,39011,18
Macon,31372,56
Madison,49158,3
Marengo,37447,15
Marion,31807,53
Marshall,34579,36
Mobile,36777,22
Monroe,31720,52
Montgomery,42211,5
Morgan,38289,14
Perry,30173,65
Pickens,31233,58
Pike,36140,24
Randolph,31242,59
Russell,32384,54
St. Clair,36993,20
Shelby,51852,2
Sumter,31452,63
Talladega,33282,46
Tallapoosa,38829,11
Tuscaloosa,37157,19
Walker,38482,13
Washington,34882,34
Wilcox,30929,61
Winston,33679,40
,,
Alaska,56794,0
Aleutians East Borough,58210,18
Aleutians West Census Area,52695,20
Anchorage Municipality,63173,10
Bethel Census Area,42134,28
Bristol Bay Borough,125895,1
Denali Borough,78685,3
Dillingham Census Area,58042,15
Fairbanks North Star Borough,53974,19
Haines Borough,62478,9
Hoonah-Angoon Census Area,59277,14
Juneau City and Borough,65784,7
Kenai Peninsula Borough,49697,21
Ketchikan Gateway Borough,65179,8
Kodiak Island Borough,61157,12
Kusilvak Census Area,29838,29
Lake and Peninsula Borough,61219,11
Matanuska-Susitna Borough,44043,26
Nome Census Area,49518,22
North Slope Borough,84340,2
Northwest Arctic Borough,44861,24
Petersburg Borough,66703,6
Prince of Wales-Hyder Census Area,41456,27
Sitka City and Borough,67771,5
Skagway Municipality,76785,4
Southeast Fairbanks Census Area,47449,23
Valdez-Cordova Census Area,59736,13
Wrangell City and Borough,44963,25
Yakutat City and Borough,55783,17
Yukon-Koyukuk Census Area,54874,16
,,
Arizona,42505,0
Apache,33093,10
Cochise,39165,5
Coconino,46662,1
Gila,38524,6
Graham,30233,13
Greenlee,36626,7
La Paz,29750,14
Maricopa,45667,2
Mohave,31742,11
Navajo,31008,12
Pima,42133,3
Pinal,29587,15
Santa Cruz,37395,8
Yavapai,38381,4
Yuma,35049,9
,,
Arkansas,41520,0
Arkansas,43723,4
Ashley,33152,40
Baxter,35617,21
Benton,84658,1
Boone,34263,27
Bradley,37936,10
Calhoun,32803,43
Carroll,33064,48
Chicot,35538,25
Clark,34822,24
Clay,33558,46
Cleburne,36764,13
Cleveland,38630,7
Columbia,36856,12
Conway,36781,15
Craighead,36323,19
Crawford,32042,53
Crittenden,35726,22
Cross,34595,28
Dallas,33118,41
Desha,36384,16
Drew,35696,20
Faulkner,36424,17
Franklin,33010,44
Fulton,27907,69
Garland,38629,9
Grant,37275,14
Greene,33696,38
Hempstead,31369,55
Hot Spring,29686,68
Howard,34387,34
Independence,33882,37
Izard,29374,67
Jackson,34236,30
Jefferson,34006,33
Johnson,28649,70
Lafayette,34903,26
Lawrence,33446,36
Lee,26474,74
Lincoln,25919,75
Little River,33525,47
Logan,33540,42
Lonoke,37525,11
Madison,36069,31
Marion,29517,66
Miller,32452,50
Mississippi,29581,59
Monroe,32110,54
Montgomery,29778,64
Nevada,33006,45
Newton,27645,71
Ouachita,35026,23
Perry,33933,39
Phillips,30148,62
Pike,31759,52
Poinsett,30921,56
Polk,29313,65
Pope,33972,35
Prairie,34208,29
Pulaski,49129,2
Randolph,32251,49
St. Francis,27464,73
Saline,40160,6
Scott,30330,60
Searcy,27109,72
Sebastian,40486,5
Sevier,30197,58
Sharp,31022,57
Stone,29491,63
Union,43507,3
Van Buren,30051,61
Washington,39283,8
White,34232,32
Woodruff,35322,18
Yell,32100,51
,,
California,60156,0
Alameda,71560,6
Alpine,68492,8
Amador,43405,40
Butte,42653,42
Calaveras,47177,30
Colusa,45475,31
Contra Costa,76886,5
Del Norte,36172,56
El Dorado,64519,11
Fresno,41137,45
Glenn,44935,33
Humboldt,46493,32
Imperial,36537,57
Inyo,59340,19
Kern,38467,53
Kings,34323,58
Lake,41460,44
Lassen,36350,55
Los Angeles,59058,15
Madera,38062,52
Marin,124731,1
Mariposa,50703,25
Mendocino,47611,29
Merced,38037,54
Modoc,43224,39
Mono,51584,28
Monterey,53989,21
Napa,69791,7
Nevada,58771,16
Orange,65709,10
Placer,64015,12
Plumas,50905,24
Riverside,38975,49
Sacramento,50445,26
San Benito,50955,23
San Bernardino,38648,51
San Diego,58097,18
San Francisco,121778,2
San Joaquin,42391,38
San Luis Obispo,55635,20
San Mateo,117389,3
Santa Barbara,59633,14
Santa Clara,100177,4
Santa Cruz,64901,9
Shasta,44480,36
Sierra,44508,35
Siskiyou,43652,37
Solano,48364,27
Sonoma,60170,13
Stanislaus,42354,43
Sutter,42752,41
Tehama,40374,46
Trinity,37842,48
Tulare,39018,50
Tuolumne,46017,34
Ventura,58761,17
Yolo,52207,22
Yuba,39409,47
,,
Colorado,55335,0
Adams,41170,41
Alamosa,35437,54
Arapahoe,56789,13
Archuleta,40753,46
Baca,41045,48
Bent,26363,63
Boulder,69298,7
Broomfield,63170,10
Chaffee,44340,31
Cheyenne,56640,17
Clear Creek,57914,12
Conejos,34424,57
Costilla,32846,60
Crowley,19263,64
Custer,39608,47
Delta,36373,52
Denver,74396,4
Dolores,33542,59
Douglas,70029,6
Eagle,73114,5
Elbert,54624,16
El Paso,46692,27
Fremont,33558,58
Garfield,55931,14
Gilpin,45826,29
Grand,46817,23
Gunnison,44676,30
Hinsdale,49886,20
Huerfano,40864,43
Jackson,45186,24
Jefferson,60206,11
Kiowa,52095,22
Kit Carson,37887,55
Lake,34801,56
La Plata,53026,18
Larimer,51497,19
Las Animas,38267,49
Lincoln,26641,62
Logan,47303,28
Mesa,42239,37
Mineral,66179,8
Moffat,39806,45
Montezuma,40316,42
Montrose,37663,50
Morgan,42986,35
Otero,36194,53
Ouray,56013,15
Park,43280,36
Phillips,42654,39
Pitkin,138328,1
Prowers,40067,44
Pueblo,37540,51
Rio Blanco,44284,32
Rio Grande,43609,33
Routt,78253,3
Saguache,28846,61
San Juan,45219,40
San Miguel,80349,2
Sedgwick,48630,26
Summit,63601,9
Teller,47164,25
Washington,38071,38
Weld,44173,34
Yuma,50062,21
,,
Connecticut,72213,0
Fairfield,112769,1
Hartford,61938,4
Litchfield,61387,3
Middlesex,65598,2
New Haven,53605,6
New London,56545,5
Tolland,54193,7
Windham,45004,8
,,
Delaware,50350,0
Kent,40438,3
New Castle,54198,1
Sussex,48601,2
,,
District of Columbia,78969,0
,,
Florida,47869,0
Alachua,42455,25
Baker,31076,50
Bay,41499,26
Bradford,32876,46
Brevard,43371,21
Broward,47977,12
Calhoun,25901,61
Charlotte,39868,31
Citrus,36614,35
Clay,41374,27
Collier,87092,1
Columbia,33658,44
DeSoto,23869,65
Dixie,26862,60
Duval,44458,19
Escambia,40825,28
Flagler,44092,18
Franklin,33999,39
Gadsden,33483,43
Gilchrist,33217,45
Glades,23510,63
Gulf,33871,40
Hamilton,25063,62
Hardee,28844,59
Hendry,30693,54
Hernando,35601,38
Highlands,32922,47
Hillsborough,45129,17
Holmes,29598,56
Indian River,72149,5
Jackson,30763,51
Jefferson,39715,32
Lafayette,24232,64
Lake,40613,30
Lee,48872,11
Leon,42380,24
Levy,34477,42
Liberty,23087,66
Madison,30499,53
Manatee,45404,16
Marion,35719,37
Martin,79020,3
Miami-Dade,47813,13
Monroe,84679,2
Nassau,55738,9
Okaloosa,47111,15
Okeechobee,30568,55
Orange,42776,22
Osceola,32315,48
Palm Beach,75183,4
Pasco,38917,33
Pinellas,50917,10
Polk,34591,41
Putnam,30823,52
St. Johns,65660,6
St. Lucie,37958,34
Santa Rosa,42972,23
Sarasota,61378,7
Seminole,46782,14
Sumter,44097,20
Suwannee,31943,49
Taylor,28878,57
Union,20756,67
Volusia,40566,29
Wakulla,35087,36
Walton,57822,8
Washington,28309,58
,,
Georgia,44536,0
Appling,32080,108
Atkinson,28764,135
Bacon,32775,112
Baker,35725,42
Baldwin,31950,110
Banks,35226,67
Barrow,35560,61
Bartow,36844,45
Ben Hill,29877,126
Berrien,30179,124
Bibb,39928,27
Bleckley,32278,107
Brantley,26353,151
Brooks,33137,89
Bryan,50022,7
Bulloch,30825,120
Burke,34394,75
Butts,32818,98
Calhoun,24763,156
Camden,34832,69
Candler,30023,127
Carroll,36814,43
Catoosa,34048,84
Charlton,24489,155
Chatham,45061,13
Chattahoochee,30926,129
Chattooga,29836,131
Cherokee,49084,8
Clarke,32419,100
Clay,29492,125
Clayton,27058,148
Clinch,36580,54
Cobb,54559,5
Coffee,30988,116
Colquitt,31859,118
Columbia,47688,11
Cook,31086,119
Coweta,44612,16
Crawford,33208,105
Crisp,31206,117
Dade,33720,74
Dawson,43455,18
Decatur,35252,68
DeKalb,48557,9
Dodge,29702,134
Dooly,27631,147
Dougherty,34354,93
Douglas,33855,81
Early,37889,39
Echols,27281,149
Effingham,40037,25
Elbert,34508,77
Emanuel,32066,122
Evans,33877,82
Fannin,34431,73
Fayette,60677,3
Floyd,37003,44
Forsyth,60227,4
Franklin,35508,62
Fulton,80683,1
Gilmer,34102,78
Glascock,32814,101
Glynn,43642,17
Gordon,35514,60
Grady,33524,90
Greene,53496,6
Gwinnett,39738,28
Habersham,32780,103
Hall,41856,22
Hancock,28261,141
Haralson,35121,65
Harris,45538,14
Hart,36219,47
Heard,30076,128
Henry,37619,38
Houston,41105,23
Irwin,30745,115
Jackson,40832,24
Jasper,39111,31
Jeff Davis,28671,140
Jefferson,32925,99
Jenkins,28005,145
Johnson,24822,154
Jones,36159,53
Lamar,32395,113
Lanier,26281,150
Laurens,35528,57
Lee,45415,15
Liberty,34163,72
Lincoln,35936,58
Long,26268,152
Lowndes,35817,55
Lumpkin,35288,56
McDuffie,35656,59
McIntosh,28377,142
Macon,30237,130
Madison,35261,64
Marion,28317,144
Meriwether,33285,91
Miller,38229,30
Mitchell,33964,86
Monroe,43106,19
Montgomery,28562,143
Morgan,48982,10
Murray,28986,139
Muscogee,42083,21
Newton,32456,106
Oconee,64194,2
Oglethorpe,36456,52
Paulding,36276,51
Peach,37173,48
Pickens,45890,12
Pierce,34908,70
Pike,38423,35
Polk,31150,121
Pulaski,29034,136
Putnam,40236,26
Quitman,28699,133
Rabun,39632,29
Randolph,31453,109
Richmond,36820,46
Rockdale,33842,80
Schley,29949,132
Screven,33079,87
Seminole,39963,34
Spalding,33422,92
Stephens,37831,40
Stewart,21665,157
Sumter,34522,71
Talbot,33643,95
Taliaferro,32719,102
Tattnall,27812,146
Taylor,29253,137
Telfair,20338,158
Terrell,38110,33
Thomas,42097,20
Tift,36148,50
Toombs,33992,76
Towns,35901,49
Treutlen,29216,138
Troup,34951,66
Turner,33212,96
Twiggs,37784,36
Union,35166,63
Upson,33922,85
Walker,31704,114
Walton,39022,32
Ware,32763,104
Warren,33231,94
Washington,34386,79
Wayne,30164,123
Webster,32211,111
Wheeler,19010,159
White,33680,88
Whitfield,37278,41
Wilcox,26014,153
Wilkes,38339,37
Wilkinson,34285,83
Worth,32540,97
,,
Hawaii,53145,0
Hawaii,40883,4
Honolulu,57049,1
Kauai,47084,2
Maui + Kalawao,47322,3
,,
Idaho,42094,0
Ada,50699,2
Adams,35945,27
Bannock,36984,24
Bear Lake,37484,22
Benewah,35691,28
Bingham,34615,33
Blaine,107468,1
Boise,41580,10
Bonner,39444,14
Bonneville,46236,5
Boundary,34792,29
Butte,37944,19
Camas,36314,21
Canyon,31422,43
Caribou,37788,18
Cassia,42790,7
Clark,38537,17
Clearwater,33881,41
Custer,41476,11
Elmore,35609,31
Franklin,34974,35
Fremont (includes Yellowstone National Park),35350,30
Gem,36200,26
Gooding,53995,3
Idaho,32903,38
Jefferson,33745,39
Jerome,36699,23
Kootenai,43129,8
Latah,39454,13
Lemhi,39790,12
Lewis,43517,6
Lincoln,33566,40
Madison,24881,44
Minidoka,36149,25
Nez Perce,42907,9
Oneida,33614,37
Owyhee,32319,42
Payette,38125,20
Power,35757,32
Shoshone,34669,36
Teton,37567,15
Twin Falls,38230,16
Valley,47866,4
Washington,34870,34
,,
Illinois,53943,0
Adams,44055,31
Alexander,32888,100
Bond,34896,90
Boone,45005,27
Brown,33448,99
Bureau,41897,47
Calhoun,39897,62
Carroll,43059,64
Cass,40212,60
Champaign,43106,36
Christian,39756,68
Clark,39877,54
Clay,37175,78
Clinton,45539,24
Coles,39098,76
Cook,59046,4
Crawford,44969,23
Cumberland,41910,48
DeKalb,39059,77
De Witt,45308,29
Douglas,48003,13
DuPage,69106,2
Edgar,40549,65
Edwards,39111,79
Effingham,47755,17
Fayette,33549,98
Ford,49742,11
Franklin,35794,91
Fulton,36054,86
Gallatin,43830,43
Greene,34425,94
Grundy,49480,12
Hamilton,43346,51
Hancock,43476,33
Hardin,36658,93
Henderson,41657,66
Henry,44073,37
Iroquois,41329,52
Jackson,35488,92
Jasper,42431,35
Jefferson,37681,81
Jersey,39720,70
Jo Daviess,46417,20
Johnson,34457,97
Kane,48814,14
Kankakee,39602,73
Kendall,46966,21
Knox,37806,83
Lake,74130,1
LaSalle,42616,42
Lawrence,28640,102
Lee,40081,67
Livingston,42784,41
Logan,35922,88
McDonough,37161,84
McHenry,52999,7
McLean,47247,19
Macon,45425,25
Macoupin,38899,69
Madison,44555,30
Marion,40229,53
Marshall,43764,34
Mason,40016,63
Massac,37218,87
Menard,43943,28
Mercer,43836,39
Monroe,55106,6
Montgomery,34961,89
Morgan,38417,72
Moultrie,57703,3
Ogle,44393,32
Peoria,47963,16
Perry,35993,85
Piatt,50502,8
Pike,40413,56
Pope,29341,101
Pulaski,36471,96
Putnam,56849,5
Randolph,34587,95
Richland,39881,61
Rock Island,43156,40
St. Clair,42933,38
Saline,38524,80
Sangamon,46187,22
Schuyler,42046,45
Scott,38749,59
Shelby,37692,71
Stark,41674,55
Stephenson,40897,58
Tazewell,44855,26
Union,40905,57
Vermilion,37461,82
Wabash,42162,50
Warren,38885,74
Washington,47563,15
Wayne,38184,75
White,46911,18
Whiteside,42325,46
Will,50449,9
Williamson,42427,44
Winnebago,41579,49
Woodford,49424,10
,,
Indiana,45225,0
Adams,37119,71
Allen,44182,21
Bartholomew,47987,9
Benton,39639,39
Blackford,36463,83
Boone,70598,2
Brown,45194,18
Carroll,41367,28
Cass,37284,75
Clark,42231,35
Clay,37025,76
Clinton,36455,69
Crawford,32517,91
Daviess,40253,47
Dearborn,45302,15
Decatur,41066,40
DeKalb,42213,30
Delaware,35713,86
Dubois,54443,3
Elkhart,45451,17
Fayette,38925,56
Floyd,53344,5
Fountain,38205,55
Franklin,44614,19
Fulton,40418,53
Gibson,43743,24
Grant,38200,60
Greene,37637,64
Hamilton,71816,1
Hancock,48483,8
Harrison,40438,49
Hendricks,47740,10
Henry,36561,78
Howard,39916,50
Huntington,40203,44
Jackson,40952,42
Jasper,42313,37
Jay,37181,68
Jefferson,40448,48
Jennings,37482,74
Johnson,46528,11
Knox,43026,26
Kosciusko,45728,13
Lagrange,41176,46
Lake,43085,25
LaPorte,40561,43
Lawrence,38846,59
Madison,36675,79
Marion,50328,7
Marshall,40060,54
Martin,37659,63
Miami,33457,90
Monroe,40303,45
Montgomery,38609,62
Morgan,42318,29
Newton,37763,65
Noble,38037,66
Ohio,38572,57
Orange,36862,80
Owen,38500,61
Parke,35478,87
Perry,36596,82
Pike,39773,57
Porter,50615,6
Posey,46946,12
Pulaski,42416,36
Putnam,36162,84
Randolph,36856,77
Ripley,40265,51
Rush,44641,16
St. Joseph,46068,14
Scott,36227,85
Shelby,42331,32
Spencer,42970,31
Starke,34141,88
Steuben,41161,38
Sullivan,33765,89
Switzerland,29016,92
Tippecanoe,36852,70
Tipton,43742,20
Union,36992,72
Vanderburgh,44004,22
Vermillion,37312,67
Vigo,37443,73
Wabash,41382,34
Warren,41888,23
Warrick,54188,4
Washington,36417,81
Wayne,39623,52
Wells,40576,41
White,41273,33
Whitley,42586,27
,,
Iowa,47458,0
Adair,47956,35
Adams,60425,1
Allamakee,43516,62
Appanoose,36659,97
Audubon,45086,54
Benton,50585,20
Black Hawk,42221,69
Boone,46263,47
Bremer,47251,49
Buchanan,44342,60
Buena Vista,45247,45
Butler,47707,46
Calhoun,45730,38
Carroll,50694,18
Cass,44804,53
Cedar,50258,21
Cerro Gordo,49935,22
Cherokee,57693,4
Chickasaw,53786,8
Clarke,41325,77
Clay,47733,37
Clayton,47824,42
Clinton,42167,73
Crawford,39469,90
Dallas,63620,2
Davis,34351,98
Decatur,33322,99
Delaware,48195,34
Des Moines,48163,41
Dickinson,56603,7
Dubuque,46242,50
Emmet,43177,82
Fayette,42160,72
Floyd,44460,59
Franklin,49186,36
Fremont,43940,66
Greene,45392,52
Grundy,50936,23
Guthrie,49042,31
Hamilton,46943,25
Hancock,51847,17
Hardin,49143,32
Harrison,43972,68
Henry,40373,83
Howard,44126,55
Humboldt,47403,43
Ida,49798,28
Iowa,51702,16
Jackson,42303,67
Jasper,40877,81
Jefferson,38299,85
Johnson,50536,33
Jones,41572,79
Keokuk,41300,71
Kossuth,50641,27
Lee,39430,87
Linn,50374,29
Louisa,38603,94
Lucas,39586,88
Lyon,59337,5
Madison,47104,48
Mahaska,40057,76
Marion,45902,51
Marshall,40771,79
Mills,53113,13
Mitchell,56986,3
Monona,46535,56
Monroe,40394,78
Montgomery,40010,86
Muscatine,45111,57
O'Brien,56110,6
Osceola,52840,11
Page,38926,91
Palo Alto,50023,26
Plymouth,54505,9
Pocahontas,46807,30
Polk,51006,24
Pottawattamie,43184,64
Poweshiek,44216,58
Ringgold,42744,63
Sac,50498,12
Scott,51985,19
Shelby,49328,39
Sioux,52054,15
Story,39976,89
Tama,43132,61
Taylor,39947,92
Union,37956,95
Van Buren,37839,93
Wapello,36928,96
Warren,48764,40
Washington,52712,10
Wayne,40490,75
Webster,42623,65
Winnebago,42464,70
Winneshiek,46862,44
Woodbury,41570,74
Worth,39928,84
Wright,51704,14
,,
Kansas,48869,0
Allen,38176,86
Anderson,36673,96
Atchison,35796,101
Barber,38154,70
Barton,44565,34
Bourbon,40056,67
Brown,41260,63
Butler,43949,44
Chase,43961,43
Chautauqua,38320,84
Cherokee,37642,89
Cheyenne,41532,37
Clark,58054,9
Clay,40952,76
Cloud,36765,98
Coffey,49455,18
Comanche,43104,46
Cowley,36963,94
Crawford,35923,99
Decatur,43747,40
Dickinson,39504,85
Doniphan,36703,102
Douglas,41899,59
Edwards,46538,22
Elk,38382,83
Ellis,43805,42
Ellsworth,39718,61
Finney,40772,62
Ford,37024,93
Franklin,40397,72
Geary,46894,31
Gove,54352,11
Graham,43260,29
Grant,45644,41
Gray,66009,5
Greeley,49718,10
Greenwood,40495,66
Hamilton,55201,8
Harper,44555,38
Harvey,39753,77
Haskell,53854,20
Hodgeman,44405,30
Jackson,39634,78
Jefferson,41883,53
Jewell,45119,33
Johnson,70899,2
Kearny,52343,14
Kingman,41770,68
Kiowa,41488,57
Labette,39725,74
Lane,87016,1
Leavenworth,41239,64
Lincoln,38570,79
Linn,34789,103
Logan,44743,35
Lyon,36412,97
McPherson,47518,24
Marion,39347,80
Marshall,44167,47
Meade,58921,6
Miami,46750,32
Mitchell,53613,16
Montgomery,35010,100
Morris,42789,71
Morton,41977,58
Nemaha,52071,17
Neosho,37394,90
Ness,50864,12
Norton,40019,75
Osage,39172,87
Osborne,43447,45
Ottawa,39515,81
Pawnee,37888,91
Phillips,46978,23
Pottawatomie,50834,21
Pratt,44202,36
Rawlins,47608,15
Reno,39347,82
Republic,43127,56
Rice,39592,65
Riley,40847,69
Rooks,36736,73
Rush,40603,55
Russell,41745,54
Saline,47831,28
Scott,67868,4
Sedgwick,50503,19
Seward,35581,95
Shawnee,44478,39
Sheridan,47346,26
Sherman,39484,51
Smith,42348,49
Stafford,40531,52
Stanton,52848,7
Stevens,36189,92
Sumner,38969,88
Thomas,40907,48
Trego,44683,25
Wabaunsee,48839,27
Wallace,50115,13
Washington,43064,50
Wichita,58829,3
Wilson,40967,60
Woodson,33592,104
Wyandotte,32157,105
,,
Kentucky,40999,0
Adair,30140,98
Allen,31901,87
Anderson,38451,30
Ballard,37109,39
Barren,35644,50
Bath,29974,109
Bell,28620,114
Boone,45860,8
Bourbon,43104,11
Boyd,37222,29
Boyle,36537,42
Bracken,35226,48
Breathitt,32834,77
Breckinridge,33614,69
Bullitt,39577,23
Butler,33602,70
Caldwell,33639,64
Calloway,34755,60
Campbell,46864,6
Carlisle,42142,13
Carroll,34421,55
Carter,30012,105
Casey,30367,99
Christian,37237,43
Clark,39105,28
Clay,29799,107
Clinton,30274,97
Crittenden,33812,63
Cumberland,33541,61
Daviess,40420,20
Edmonson,31542,88
Elliott,21934,120
Estill,30858,92
Fayette,48427,5
Fleming,32796,81
Floyd,35738,46
Franklin,40716,19
Fulton,32588,79
Gallatin,31085,90
Garrard,33723,71
Grant,34781,57
Graves,37455,36
Grayson,32558,80
Green,34220,68
Greenup,38541,24
Hancock,35550,47
Hardin,42161,16
Harlan,29626,103
Harrison,34181,66
Hart,31296,89
Henderson,38332,27
Henry,36736,38
Hickman,42615,10
Hopkins,38817,31
Jackson,27836,117
Jefferson,49871,3
Jessamine,42372,15
Johnson,32007,84
Kenton,55101,2
Knott,29082,112
Knox,28678,115
Larue,35481,52
Laurel,33066,75
Lawrence,30289,91
Lee,31147,111
Leslie,31632,86
Letcher,29386,104
Lewis,30030,101
Lincoln,30755,96
Livingston,36823,41
Logan,35007,59
Lyon,34694,49
McCracken,46442,7
McCreary,25026,119
McLean,39870,22
Madison,34654,62
Magoffin,29452,108
Marion,34997,58
Marshall,39505,21
Martin,28906,113
Mason,38861,25
Meade,38901,26
Menifee,29734,110
Mercer,36552,44
Metcalfe,30660,93
Monroe,35747,54
Montgomery,34003,67
Morgan,26379,118
Muhlenberg,33608,76
