Metro_Area,2016,2017,2018,Rank_2018
"Abilene, TX",40140,40862,43140,256
"Akron, OH",45515,47343,49423,129
"Albany, GA",35485,36522,37500,358
"Albany-Lebanon, OR",39164,40865,42891,261
"Albany-Schenectady-Troy, NY",53496,56264,58104,43
"Albuquerque, NM",40180,40715,42536,267
"Alexandria, LA",41572,42200,43995,235
"Allentown-Bethlehem-Easton, PA-NJ",49865,51236,54120,76
"Altoona, PA",42717,44160,46743,171
"Amarillo, TX",43025,44111,46131,189
"Ames, IA",40440,41321,43519,246
"Anchorage, AK",57591,58093,60953,31
"Ann Arbor, MI",54377,56729,59363,38
"Anniston-Oxford, AL",34774,35721,37120,361
"Appleton, WI",47730,49292,51134,106
"Asheville, NC",41744,43265,45433,206
"Athens-Clarke County, GA",37411,38884,40690,302
"Atlanta-Sandy Springs-Alpharetta, GA",48052,50269,52473,89
"Atlantic City-Hammonton, NJ",45191,46549,48668,142
"Auburn-Opelika, AL",35690,36437,38036,352
"Augusta-Richmond County, GA-SC",39015,40502,42053,274
"Austin-Round Rock-Georgetown, TX",52208,55530,58773,40
"Bakersfield, CA",37920,38467,39703,326
"Baltimore-Columbia-Towson, MD",57962,59570,62402,26
"Bangor, ME",38781,39976,42053,274
"Barnstable Town, MA",68022,70777,74756,10
"Baton Rouge, LA",44575,45865,48042,152
"Battle Creek, MI",37994,38608,40276,314
"Bay City, MI",39443,40192,41722,283
"Beaumont-Port Arthur, TX",41659,42728,44527,219
"Beckley, WV",34176,36477,38717,340
"Bellingham, WA",45089,46719,48792,140
"Bend, OR",50195,53033,55143,68
"Billings, MT",47496,49558,52019,95
"Binghamton, NY",40873,43201,44817,217
"Birmingham-Hoover, AL",46621,48618,50979,107
"Bismarck, ND",55011,54507,56564,56
"Blacksburg-Christiansburg, VA",35515,36723,38538,344
"Bloomington, IL",46727,47247,49180,131
"Bloomington, IN",38034,40079,41947,278
"Bloomsburg-Berwick, PA",42010,43692,45527,203
"Boise City, ID",42395,44062,45973,196
"Boston-Cambridge-Newton, MA-NH",71510,74779,78694,6
"Boulder, CO",64875,69298,73394,12
"Bowling Green, KY",34878,35863,36740,367
"Bremerton-Silverdale-Port Orchard, WA",50518,52833,56244,60
"Bridgeport-Stamford-Norwalk, CT",107221,112769,120630,2
"Brownsville-Harlingen, TX",27023,27427,28756,383
"Brunswick, GA",37800,39058,41092,292
"Buffalo-Cheektowaga, NY",46327,48879,50414,115
"Burlington, NC",37317,38141,39342,331
"Burlington-South Burlington, VT",54330,55445,57575,48
"California-Lexington Park, MD",53482,54446,56820,53
"Canton-Massillon, OH",41292,42937,44767,218
"Cape Coral-Fort Myers, FL",47574,48872,51266,103
"Cape Girardeau, MO-IL",40410,41882,43850,238
"Carbondale-Marion, IL",37641,38782,40701,301
"Carson City, NV",45617,48065,50754,109
"Casper, WY",63999,62751,69379,14
"Cedar Rapids, IA",48848,49721,52168,93
"Chambersburg-Waynesboro, PA",42597,44239,46403,180
"Champaign-Urbana, IL",43356,43644,45975,195
"Charleston, WV",39953,41322,44053,232
"Charleston-North Charleston, SC",46439,48769,50958,108
"Charlotte-Concord-Gastonia, NC-SC",47766,50043,52176,92
"Charlottesville, VA",59243,63300,66577,17
"Chattanooga, TN-GA",42833,44198,45900,200
"Cheyenne, WY",48345,49746,52039,94
"Chicago-Naperville-Elgin, IL-IN-WI",56086,58014,61089,30
"Chico, CA",42015,42653,44346,222
"Cincinnati, OH-KY-IN",49730,51729,54176,75
"Clarksville, TN-KY",38608,39426,39991,319
"Cleveland, TN",36665,37063,38371,348
"Cleveland-Elyria, OH",49581,51409,53738,81
"Coeur d'Alene, ID",41370,43129,44987,212
"College Station-Bryan, TX",36050,37569,39533,327
"Colorado Springs, CO",44898,46708,48492,144
"Columbia, MO",43446,44916,46510,176
"Columbia, SC",41996,43750,44906,214
"Columbus, GA-AL",38047,39407,41067,294
"Columbus, IN",46205,47987,49922,121
"Columbus, OH",48006,49338,51165,105
"Corpus Christi, TX",40387,42389,44311,225
"Corvallis, OR",43623,44519,47019,165
"Crestview-Fort Walton Beach-Destin, FL",47828,49800,51655,101
"Cumberland, MD-WV",37583,38342,40049,316
"Dallas-Fort Worth-Arlington, TX",51263,53391,55886,63
"Dalton, GA",33983,34984,36316,370
"Danville, IL",36383,37461,39481,330
"Daphne-Fairhope-Foley, AL",42907,43989,45596,202
"Davenport-Moline-Rock Island, IA-IL",45762,47295,49172,133
"Dayton-Kettering, OH",43904,45751,47687,154
"Decatur, AL",35853,37050,38719,339
"Decatur, IL",45077,45425,48214,147
